nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
720.24,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
648.18,0,1,0,0,1,0,1,1,0,1,0,0,5,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1
746.64,0,1,0,0,0,1,0,0,0,1,0,0,7,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
601.8,1,0,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,0,0,1,0
696.1,0,1,0,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,1,0
1019.6,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
518.9,1,0,0,0,1,0,1,1,0,1,0,0,3,5,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0
671.2,0,1,0,0,1,0,1,1,0,1,0,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
726.86,0,1,0,0,0,1,0,0,0,1,0,0,5,1,1,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
756.22,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
683.3,0,1,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0
721.56,0,1,0,0,0,1,0,0,0,1,0,0,2,4,1,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,1
752.35,1,0,0,0,0,0,1,1,0,1,0,0,2,4,1,0,0,0,0,1,2,3,2,0,0,0,0,1,1,0,0,0
696.46,0,1,0,0,0,1,0,0,0,0,1,0,19,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
961.3,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0
736.48,0,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
745.02,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0
370.8,1,0,0,0,1,0,1,1,0,1,0,0,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1
551.62,0,1,0,0,1,0,1,0,0,0,1,0,3,4,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1
961.1,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
890.8,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
366.75,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,1,0,0,0
686.48,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
298.7,1,0,0,0,0,0,1,1,0,0,1,0,4,4,0,0,0,0,0,1,2,5,0,1,0,0,0,0,1,0,0,0
787.6,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
1070.8,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
675.94,0,1,0,0,0,0,1,1,0,0,1,0,2,2,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
762.24,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
693.82,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0
701.26,0,1,0,0,0,0,1,0,0,1,0,0,24,1,2,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0
230.4,1,0,0,0,1,0,1,1,0,1,0,0,3,4,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0
1035.5,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
761.72,0,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0
746.8,0,1,0,0,0,1,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
715.64,0,1,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
702.8,1,0,0,0,0,1,0,0,0,0,1,0,6,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
673.94,0,1,0,0,0,0,1,1,0,1,0,0,7,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
566.7,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0
654.8,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
859.7,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0
659.42,0,1,0,0,1,0,1,1,0,0,1,0,3,1,3,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,1
696.46,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,2,5,1,0,0,0,0,0,1,0,0,0
726.2,0,1,0,0,0,0,1,0,0,1,0,0,21,0,1,5,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
950.1,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
420.8,1,0,0,0,1,0,1,1,0,0,1,0,4,5,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,1
489.7,1,0,0,0,1,0,1,1,0,0,1,0,3,0,0,4,0,0,0,1,1,7,0,0,0,0,0,1,0,0,0,1
556.35,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
784.36,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
741.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0
714.98,0,1,0,0,0,0,1,0,0,0,1,0,8,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
513.0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,2,1,5,1,0,0,0,0,1,0,0,0
671.04,0,1,0,0,1,0,1,1,0,1,0,0,4,3,0,0,0,0,0,1,6,2,0,1,0,0,0,1,0,0,1,0
717.58,0,1,0,0,0,1,0,0,0,1,0,0,3,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
747.24,0,1,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
752.0,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0
362.0,1,0,0,0,0,0,1,0,0,0,1,0,2,5,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0
995.55,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
900.3,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
637.48,0,1,0,0,0,0,1,1,0,0,1,0,5,2,0,0,0,0,0,0,5,1,0,1,0,0,0,1,1,0,0,0
625.0,1,0,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,6,1,0,0,0,1,0,1,0,0,0,1
713.04,0,1,0,0,0,1,0,0,0,1,0,0,6,1,1,0,0,0,0,0,2,0,0,5,0,1,0,0,1,0,0,0
684.5,1,0,0,0,0,0,1,1,0,0,1,0,4,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0
634.35,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
752.44,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
