feature,importancia_media
periodo_2_disciplinas_aprovadas,0.1429022366353105
periodo_2_disciplinas_ri,0.06373411762091656
periodo_1_disciplinas_aprovadas,0.05110965726325422
NOTA_INGRESSO,0.03307628108822364
periodo_2_disciplinas_reprovadas,0.014563608167762738
periodo_1_disciplinas_reprovadas,0.006493006221662048
genero_masculino,0.006422545920896168
genero_feminino,0.006328093676430563
TIPO_INGRESSO_PISM,0.006315980353498125
etnia_BRANCA,0.004064283813554279
cota_ampla_concorrencia,0.0030529708379997663
TIPO_INGRESSO_SISU,0.002426915954651936
periodo_2_disciplinas_trancadas,0.0021964904009434605
periodo_1_disciplinas_ri,0.0021355039617049405
periodo_2_bolsa_n_remunerada,0.0016486427181115957
periodo_2_bolsa_remunerada,0.0015551298499765316
etnia_PARDA,0.0015381396046026295
cota_renda,0.0013972662595257567
cota_racial,0.0011648350933778809
cota_escola_publica,0.0008835883941721601
periodo_2_AE,0.0007844364873988176
periodo_1_disciplinas_trancadas,0.0005457137941335876
etnia_PRETA,0.00032829414969732243
etnia_OUTRA,0.00010202127788033928
periodo_1_AE,9.70121722541047e-05
periodo_1_bolsa_remunerada,7.219396438511841e-05
cota_pcd,1.3883029551997438e-05
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
