nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
760.74,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
671.04,0,1,0,0,1,0,1,1,0,1,0,0,4,3,0,0,0,0,0,1,6,2,0,1,0,0,0,1,3,2,0,1,0,0,0,1,0,0,1,0
632.92,0,1,0,0,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
668.54,0,1,0,0,1,0,1,0,0,1,0,0,27,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0
714.62,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
767.3,0,1,0,0,0,1,0,0,0,1,0,0,25,1,0,1,0,0,0,0,5,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,1,0,0,0
942.15,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0
615.28,0,1,0,0,1,0,1,1,0,0,1,0,7,4,0,0,0,0,0,0,4,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1
632.78,0,1,0,0,1,0,1,1,0,1,0,0,6,1,0,0,0,0,0,1,4,1,0,1,0,0,0,1,2,3,0,1,0,1,0,1,0,0,1,0
723.72,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0
945.65,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,10,0,0,0,0,1,0,0,1,0,0,0
733.04,0,1,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
722.12,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0
917.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
940.55,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
689.25,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0
703.26,0,1,0,0,1,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,1,0
747.18,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
894.2,1,0,0,0,0,1,0,0,0,0,1,0,13,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
551.62,0,1,0,0,1,0,1,0,0,0,1,0,3,4,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1
736.28,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,5,2,0,0,0,1,0,0,1,0,0,0
726.68,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,5,1,2,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0
996.4,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,0,0,0
710.36,0,1,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,3,2,3,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0
654.8,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
710.88,0,1,0,0,0,1,0,0,0,1,0,0,10,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0
