NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
706.5,1,0,0,0,1,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,4,3,0,0,0,1,0,0,0,0,0,1
726.68,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,5,1,2,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0
622.8,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0
867.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
538.4,1,0,0,0,0,0,1,0,0,1,0,0,4,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0
513.0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,2,1,5,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
723.34,0,1,0,0,0,0,1,0,0,0,1,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,1,0,0,0,0,1,0,1,0,0,0
654.8,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
990.5,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
611.0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
925.8,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
696.0,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
714.08,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
660.1,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
731.4,0,1,0,0,0,1,0,0,0,0,1,0,44,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
728.4,0,1,0,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
704.9,1,0,0,0,0,1,0,0,0,0,1,0,4,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
664.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0
547.36,0,1,0,0,1,0,1,0,1,1,0,0,0,6,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
917.8,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0
955.15,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0
502.4,1,0,0,0,1,0,1,0,0,1,0,0,3,4,0,0,0,0,0,0,1,6,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0
