feature,importancia_media
periodo_2_disciplinas_aprovadas,0.12462474406780354
periodo_3_disciplinas_aprovadas,0.0934892888305664
periodo_1_disciplinas_aprovadas,0.06214403760158366
NOTA_INGRESSO,0.03130148686721678
periodo_2_disciplinas_ri,0.02587485979236293
periodo_1_disciplinas_ri,0.012792829835720528
genero_masculino,0.007840593334720817
periodo_3_disciplinas_ri,0.005370031402620659
cota_escola_publica,0.004971906219760501
TIPO_INGRESSO_PISM,0.0045514670676513784
periodo_2_disciplinas_reprovadas,0.00414172040134333
etnia_BRANCA,0.0026228538929781216
cota_racial,0.002149137182718485
TIPO_INGRESSO_SISU,0.0
cota_ampla_concorrencia,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
cota_renda,0.0
periodo_1_disciplinas_trancadas,0.0
genero_feminino,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_AE,0.0
periodo_1_disciplinas_reprovadas,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_AE,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_3_disciplinas_reprovadas,0.0
periodo_2_bolsa_remunerada,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_AE,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
etnia_PRETA,0.0
