nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
642.2,0,1,0,0,1,0,1,1,0,1,0,0,1,5,1,0,0,0,0,1,2,1,0,2,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0
735.2,1,0,0,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,1,0,2,0,0,0,0,1,0,0,0
654.8,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
230.4,1,0,0,0,1,0,1,1,0,1,0,0,3,4,2,0,0,0,0,0,1,2,2,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0
961.3,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0
668.54,0,1,0,0,1,0,1,0,0,1,0,0,27,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0
710.88,0,1,0,0,0,1,0,0,0,1,0,0,10,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0
747.24,0,1,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,7,2,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,0,0
1052.8,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
942.0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0
868.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
635.4,1,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0
1040.25,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
770.66,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
754.62,0,1,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,4,3,0,1,0,0,0,0,1,0,0,0
1049.3,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0
642.5,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
556.35,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
679.48,0,1,0,0,1,0,1,1,0,0,1,0,3,4,0,0,0,0,0,1,1,1,0,2,0,0,0,1,1,7,1,0,0,0,0,1,0,0,1,0
900.1,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,3,2,0,2,0,0,0,0,1,0,0,0
534.7,1,0,0,0,0,1,0,0,0,0,1,0,5,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
983.25,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
655.8,0,1,0,0,1,0,1,0,0,1,0,0,18,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0
740.62,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
648.18,0,1,0,0,1,0,1,1,0,1,0,0,5,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,1
742.62,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
949.6,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
945.65,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,10,0,0,0,0,1,0,0,1,0,0,0
611.0,1,0,0,0,0,1,0,0,0,1,0,0,3,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
713.04,0,1,0,0,0,1,0,0,0,1,0,0,6,1,1,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0
594.74,0,1,0,0,1,0,1,1,0,0,1,0,9,3,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
689.25,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0
479.86,0,1,0,0,1,0,1,1,0,1,0,0,2,6,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
466.92,0,1,0,0,0,0,1,1,0,1,0,0,1,4,2,0,0,0,0,0,1,6,0,1,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0
995.55,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0
726.72,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,4,1,0,0,0,0,0,1,0,0,0
551.24,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,4,3,0,0,0,1,0,1,4,2,0,0,0,1,0,1,0,0,1,0
445.9,1,0,0,0,0,0,1,1,0,0,1,0,7,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
