feature,importancia_media
periodo_3_disciplinas_aprovadas,0.15677772571705917
periodo_1_disciplinas_aprovadas,0.08333766277990359
periodo_2_disciplinas_aprovadas,0.06745445306023143
NOTA_INGRESSO,0.061729996948825874
periodo_2_disciplinas_reprovadas,0.025261676337843618
cota_ampla_concorrencia,0.016241256586041978
periodo_3_disciplinas_reprovadas,0.015242449946871277
etnia_BRANCA,0.01485104950826708
TIPO_INGRESSO_PISM,0.014642020568808234
genero_masculino,0.014514824523766439
cota_racial,0.0141825326620095
etnia_PARDA,0.01323597112590909
periodo_1_disciplinas_reprovadas,0.012951134903217702
periodo_2_disciplinas_ri,0.01237111206300127
periodo_2_bolsa_remunerada,0.006814422090736055
periodo_1_disciplinas_ri,0.005496160419447327
periodo_2_disciplinas_trancadas,0.005121052339812784
periodo_3_bolsa_remunerada,0.004628805045771277
periodo_3_disciplinas_trancadas,0.003973213562362352
TIPO_INGRESSO_SISU,0.0038606957613947293
periodo_3_AE,0.003533306483403598
periodo_3_disciplinas_ri,0.002209493618923907
periodo_1_AE,0.0013548028901034443
genero_feminino,0.0012529651877253374
periodo_1_disciplinas_trancadas,0.0009148352704440586
cota_escola_publica,0.0007365945543394908
cota_renda,0.00015273330592933685
periodo_2_AE,0.00013710689881292652
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
cota_pcd,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
etnia_OUTRA,0.0
etnia_PRETA,0.0
