curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Engenharia de Produção,4,1,XGBoost,0.5,0.9009009009009009,0.8989296201572415,0.8405797101449275,0.8743608473338202,0.8505480181078386,0.11405452122727494,0.11630933777086855,1.9726027397260273,1337,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.75,,,
Engenharia de Produção,4,1,LightGBM,0.5,0.8918918918918919,0.8902255639097745,0.8285714285714286,0.8652300949598247,0.8455731756041354,0.12179267139127088,0.11147752768632474,1.9726027397260273,1337,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.7692307692307693,,,
Engenharia de Produção,4,1,CatBoost,0.4,0.8018018018018018,0.8064182194616978,0.7380952380952381,0.8842220598977355,0.8184653567632292,0.10551029676615921,0.11267642062704243,1.9726027397260273,1337,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.7428571428571429,,,
Engenharia de Produção,4,1,Comite_Arvores_XGB_LGBM_CatBoost,0.4447413197860693,0.8828828828828829,0.8805531874585583,0.8115942028985508,0.8867786705624543,0.8780904109164979,0.10868429647100522,0.10433563013780528,1.9726027397260273,1337,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.7692307692307693,0.33155210104430327,0.3400534369685162,0.3283944619867385
Engenharia de Produção,4,2,XGBoost,0.4000000059604645,0.6666666666666666,0.6759595618259131,0.5842696629213483,0.762600438276114,0.6738906197051486,0.1667694965663896,0.18097237283813633,1.9726027397260273,1338,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.7741935483870968,,,
Engenharia de Produção,4,2,LightGBM,0.5714285714285714,0.7297297297297297,0.735191637630662,0.6341463414634146,0.7748356464572681,0.7182271968716981,0.16289451328464669,0.182767036528756,1.9726027397260273,1338,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.8275862068965517,,,
Engenharia de Produção,4,2,CatBoost,0.5,0.7387387387387387,0.7411255411255411,0.6233766233766234,0.7682615047479912,0.6337911394060739,0.16479239854805536,0.19389780161224832,1.9726027397260273,1338,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.8666666666666667,,,
Engenharia de Produção,4,2,Comite_Arvores_XGB_LGBM_CatBoost,0.4019780354426686,0.7567567567567568,0.7575510204081632,0.64,0.7728268809349892,0.7454071726938496,0.15977300769278666,0.1740869709796588,1.9726027397260273,1338,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.896551724137931,0.3136359539758996,0.33526601976734094,0.3510980262563543
Engenharia de Produção,4,3,XGBoost,1.0,0.8108108108108109,0.8086932189161458,0.704225352112676,0.8131848064280497,0.6477212506624273,0.15346527484350464,0.17640441068607918,1.9726027397260273,1339,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.8695652173913043,,,
Engenharia de Produção,4,3,LightGBM,0.5,0.7657657657657657,0.7712215320910973,0.6904761904761905,0.8119065010956903,0.6917171872306007,0.16114349259750613,0.1559519403314932,1.9726027397260273,1339,256,170,86,0.3359375,39,26,13,0.3333333333333333,111,74,37,0.3333333333333333,0.8275862068965517,,,
