nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
724.22,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
770.66,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,1,0,0,0
717.84,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0
672.2,0,1,0,0,1,0,1,0,0,1,0,0,18,1,0,1,0,0,0,0,4,2,1,0,0,0,0,0,4,3,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0
717.34,0,1,0,0,1,0,1,0,0,1,0,0,1,1,5,0,0,0,0,0,3,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
744.62,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,2,2,0,1,0,1,0,0,0,0,1,0
726.72,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
724.94,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,1,0,0,0,0,1,0,6,0,0,0,0,1,0,0,1,0,0,0
471.7,1,0,0,0,1,0,1,1,0,1,0,0,4,4,0,0,0,0,0,1,5,2,0,0,0,0,0,1,5,2,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,1
696.0,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
810.9,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0
961.3,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0
757.3,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
673.9,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,5,2,0,1,0,0,1,0,5,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0
786.8,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0
653.52,0,1,0,0,1,0,1,1,0,1,0,0,4,3,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,3,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,1
465.1,1,0,0,0,1,0,1,0,0,1,0,0,4,4,0,0,0,0,0,0,4,4,0,1,0,0,0,0,6,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0
697.24,0,1,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,6,2,0,0,0,0,0,0,5,2,1,1,0,1,0,0,1,0,0,0
769.0,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
744.12,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
673.94,0,1,0,0,0,0,1,1,0,1,0,0,7,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
941.9,1,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
461.15,1,0,0,0,0,0,1,0,0,0,1,0,2,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0
722.12,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
298.7,1,0,0,0,0,0,1,1,0,0,1,0,4,4,0,0,0,0,0,1,2,5,0,1,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0
463.08,0,1,0,0,1,0,1,1,0,0,1,0,1,7,1,0,0,0,0,0,2,2,0,1,0,0,0,0,2,2,1,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,1,0
817.45,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0
696.46,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,2,5,1,0,0,0,0,0,7,0,0,1,0,0,0,0,6,1,2,0,0,0,0,0,1,0,0,0
1069.6,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,6,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0
1035.5,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
600.86,0,1,0,0,1,0,1,0,0,0,1,0,7,4,0,0,0,0,0,0,4,3,0,2,0,0,0,0,4,3,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0
883.7,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
665.64,0,1,0,0,1,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,2,4,0,1,0,0,0,1,7,1,0,0,0,0,0,1,5,0,1,0,0,0,0,1,0,0,1,0
641.05,1,0,0,0,0,0,1,1,0,0,1,0,5,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,5,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
975.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
726.68,0,1,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,5,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
759.66,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,0
825.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
674.1,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
703.34,0,1,0,0,0,1,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,1,0,0,0,0,1,4,2,0,0,0,0,0,1,0,0,0
675.6,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,2,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0
748.66,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0
720.88,0,1,0,0,0,0,1,0,0,0,1,0,20,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
