NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
308.5,1,0,0,0,0,0,1,0,0,1,0,0,2,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
721.56,0,1,0,0,0,1,0,0,0,1,0,0,2,4,1,0,0,0,0,0,1,5,0,2,0,0,0,0,4,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1
634.35,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
731.4,0,1,0,0,0,1,0,0,0,0,1,0,44,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1049.3,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0
747.08,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0
731.66,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,4,1,1,0,0,0,1,0,3,0,4,0,0,0,0,0,1,0,0,0
680.7,1,0,0,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,4,3,1,0,0,0,0,0,7,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,1,0,0,0
552.5,1,0,0,0,0,1,0,0,0,0,1,0,5,2,1,0,0,0,0,0,7,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
689.72,0,1,0,0,0,1,0,0,0,1,0,0,3,3,0,2,0,0,0,0,8,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
659.5,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,6,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
465.1,1,0,0,0,1,0,1,0,0,1,0,0,4,4,0,0,0,0,0,0,4,4,0,1,0,0,0,0,6,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0
552.9,1,0,0,0,0,0,1,0,0,1,0,0,6,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
942.15,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0
686.32,0,1,0,0,1,0,1,0,0,1,0,0,38,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1
942.0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
941.9,1,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
714.28,0,1,0,0,0,1,0,0,0,1,0,0,22,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
665.82,0,1,0,0,1,0,1,1,0,1,0,0,20,2,0,0,0,0,0,0,5,2,0,1,0,0,0,0,10,0,0,0,1,0,0,1,9,1,0,0,1,0,0,1,0,0,1,0
420.8,1,0,0,0,1,0,1,1,0,0,1,0,4,5,0,0,0,0,0,0,1,6,1,0,0,0,0,1,5,4,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,1
677.04,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,1,3,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,1
547.36,0,1,0,0,1,0,1,0,1,1,0,0,0,6,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
626.7,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,5,1,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0
741.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
768.3,1,0,0,0,0,0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,8,1,0,0,0,0,0,1,5,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,0,0
769.0,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
701.14,0,1,0,0,0,1,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,3,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
671.2,0,1,0,0,1,0,1,1,0,1,0,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,1
715.64,0,1,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0
867.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
660.1,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
685.68,0,1,0,0,1,0,1,1,0,0,1,0,8,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,1,0
671.04,0,1,0,0,1,0,1,1,0,1,0,0,4,3,0,0,0,0,0,1,6,2,0,1,0,0,0,1,3,2,0,1,0,0,0,1,4,2,0,1,0,0,0,1,0,0,1,0
298.7,1,0,0,0,0,0,1,1,0,0,1,0,4,4,0,0,0,0,0,1,2,5,0,1,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0
