feature,importancia_media
periodo_4_disciplinas_aprovadas,0.0943389947560607
periodo_1_disciplinas_aprovadas,0.09009915017946543
periodo_4_disciplinas_ri,0.05358792541637881
periodo_2_disciplinas_aprovadas,0.04043035930391306
periodo_2_disciplinas_trancadas,0.031296110348818705
nota_ingresso,0.027326982075667305
periodo_1_disciplinas_reprovadas,0.019826230435602315
periodo_3_disciplinas_aprovadas,0.019460303329018755
periodo_3_disciplinas_reprovadas,0.017249400926261805
periodo_4_disciplinas_trancadas,0.010761828260460947
periodo_2_disciplinas_reprovadas,0.00801587685043046
tipo_ingresso_pism,0.007093700902184095
genero_masculino,0.007085697525421822
etnia_parda,0.005955996025391411
periodo_4_disciplinas_reprovadas,0.004723648128941936
periodo_3_disciplinas_ri,0.004559830929794183
genero_feminino,0.0041023523149026795
periodo_3_disciplinas_trancadas,0.0028968575625790394
tipo_ingresso_sisu,0.0025924100379614433
periodo_3_bolsa_remunerada,0.0024833202321448747
periodo_2_disciplinas_ri,0.0024353925195597496
periodo_2_ae,0.002295372165859393
cota_racial,0.0021188952216835435
periodo_4_bolsa_remunerada,0.0015563994276433337
cota_renda,0.0014794533798127936
etnia_branca,0.001359007413191744
periodo_3_ae,0.0010858917331751925
cota_ampla_concorrencia,0.0009188529009635124
periodo_1_disciplinas_ri,0.0008667230556330632
periodo_1_disciplinas_trancadas,0.0008088932962447843
periodo_4_ae,0.00046966825531561323
periodo_2_bolsa_n_remunerada,0.00045097625370260175
etnia_preta,0.00040019248723413065
etnia_outra,0.0003433936937607376
periodo_2_bolsa_remunerada,0.00023715267838110983
periodo_4_bolsa_n_remunerada,0.00012935686181600242
cota_escola_publica,0.0001161252149319916
periodo_3_bolsa_n_remunerada,8.658832501049912e-05
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
