NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
950.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0
572.7,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,1,7,3,0,0,0,0,0,1,0,0,0,1
790.9,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0
382.3,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
671.6,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,4,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0
743.02,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
391.5,1,0,0,0,0,0,1,0,0,0,1,0,5,3,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0
565.35,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,1,0,0,0
713.84,0,1,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,1,0,0,0
668.02,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0
679.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,2,0,0,0,1,0,0,1,0,0,0
665.14,0,1,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,7,4,0,0,0,0,0,0,1,0,0,0
775.3,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,10,0,0,1,0,0,0,1,1,0,0,0
358.2,1,0,0,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,1,7,3,0,0,0,0,0,1,0,0,0,1
649.5,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,5,0,0,0,1,8,0,0,1,0,0,0,1,0,0,1,0
727.1,0,1,0,0,0,1,0,0,0,0,1,0,5,0,5,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
634.8,0,1,0,0,0,0,1,1,0,0,1,0,14,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,0,0
744.9,1,0,0,0,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,1,11,1,0,0,0,0,0,1,1,0,0,0
739.2,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1,0,0,0
596.8,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
625.04,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,2,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,0
639.42,0,1,0,0,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,1,8,2,0,0,0,0,0,1,1,0,0,0
626.8,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0,0,0,1,5,5,1,0,0,0,0,1,1,0,0,0
613.4,1,0,0,0,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0
911.05,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
701.46,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0
659.44,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
618.74,0,1,0,0,0,0,1,1,0,0,1,0,17,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,1,0,0,0
605.0,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
663.7,0,1,0,0,0,0,1,1,0,0,1,0,13,2,0,0,0,0,0,1,10,1,0,0,0,0,0,1,1,0,0,0
868.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
630.52,0,1,0,0,1,0,1,0,0,0,1,0,1,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
704.58,0,1,0,0,0,0,1,0,0,0,1,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
806.5,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
611.48,0,1,0,0,1,0,1,1,0,0,1,0,7,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
480.7,1,0,0,0,0,0,1,0,0,0,1,0,11,1,0,0,0,0,0,0,6,6,0,0,0,0,0,1,0,0,1,0
875.05,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
721.48,0,1,0,0,0,0,1,0,0,0,1,0,10,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,0,0
738.25,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
910.1,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
741.16,0,1,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0
678.72,0,1,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
972.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
503.5,1,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0
655.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
423.65,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,1
