NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
423.65,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,1
713.6,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0
841.2,1,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,0
719.5,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
716.55,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,0,0
834.75,1,0,0,0,0,1,0,0,0,1,0,0,10,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0
864.2,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,1,0,0,0
612.24,0,1,0,0,0,0,1,1,0,0,1,0,14,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
900.55,1,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0
872.25,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0
664.04,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
773.1,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
610.2,1,0,0,0,0,1,0,0,0,1,0,0,1,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
649.0,0,1,0,0,1,0,1,0,0,0,1,0,10,2,0,0,0,0,0,1,6,3,0,0,0,0,0,1,0,0,1,0
714.48,0,1,0,0,0,1,0,0,0,1,0,0,9,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
336.9,1,0,0,0,0,0,1,0,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
611.66,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
738.25,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
577.1,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
820.15,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0
643.0,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0
934.75,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
940.55,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0
607.08,0,1,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,1,0,0,0
702.8,1,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0
922.9,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
647.46,0,1,0,0,0,0,1,1,0,0,1,0,7,0,1,0,0,0,0,0,8,2,0,0,0,0,0,1,1,0,0,0
675.1,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
847.2,1,0,0,0,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
