feature,importancia_media
periodo_3_disciplinas_aprovadas,0.07763952678936757
periodo_1_disciplinas_aprovadas,0.07019659862884654
periodo_2_disciplinas_aprovadas,0.04842161546637286
nota_ingresso,0.03906500681759001
genero_feminino,0.014739171291645098
periodo_2_disciplinas_reprovadas,0.01435593887673283
tipo_ingresso_pism,0.014214838518768648
periodo_3_disciplinas_reprovadas,0.011517554605669214
periodo_2_disciplinas_ri,0.009033256865451244
periodo_3_disciplinas_ri,0.008167030176595015
periodo_3_bolsa_n_remunerada,0.007483769697919207
periodo_1_disciplinas_ri,0.006210926768709307
etnia_parda,0.005786466457927841
periodo_3_bolsa_remunerada,0.004958609135541755
genero_masculino,0.004480776554791129
periodo_2_disciplinas_trancadas,0.004361282077028408
periodo_3_disciplinas_trancadas,0.0034273837062340725
etnia_branca,0.0033659221058875886
etnia_preta,0.002435546919389934
periodo_1_ae,0.0022463108617597877
periodo_1_disciplinas_reprovadas,0.0017372113814222855
etnia_outra,0.0016442609124709207
cota_ampla_concorrencia,0.001482275240164529
periodo_1_disciplinas_trancadas,0.00123192951509885
periodo_2_bolsa_n_remunerada,0.00024395355318898538
periodo_1_bolsa_n_remunerada,4.297680056485587e-05
periodo_1_bolsa_remunerada,3.843167924027198e-05
cota_renda,0.0
cota_escola_publica,0.0
tipo_ingresso_sisu,0.0
tipo_ingresso_vestibular,0.0
cota_racial,0.0
tipo_ingresso_outros,0.0
periodo_1_disciplinas_outros_status,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_2_ae,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_ae,0.0
periodo_3_disciplinas_outros_status,0.0
