nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
655.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
300.1,1,0,0,0,1,0,1,1,0,0,1,0,7,4,0,1,0,0,0,0,7,6,0,0,0,0,0,1,3,6,1,0,0,0,0,1,0,0,0,1
0.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
887.3,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
618.74,0,1,0,0,0,0,1,1,0,0,1,0,17,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,6,3,0,0,0,0,1,0,1,0,0,0
606.7,1,0,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,0,0,1,0
883.3,1,0,0,0,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
984.7,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
902.3,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
563.7,1,0,0,0,0,0,1,0,0,1,0,0,6,2,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,0,0,0
334.6,1,0,0,0,1,0,1,1,0,0,1,0,8,2,0,0,0,0,0,0,6,4,1,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,1
708.94,0,1,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
948.55,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
668.12,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
1017.05,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0
738.38,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
625.04,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,2,0,0,0,0,2,4,0,0,0,0,0,1,7,3,0,0,0,0,0,1,1,0,0,0
700.86,0,1,0,0,0,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0
729.84,0,1,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0
631.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
685.7,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0
613.8,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
998.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
841.2,1,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,10,0,0,1,0,1,0,0,0
389.9,1,0,0,0,1,0,1,1,0,0,1,0,14,2,0,0,0,0,0,0,11,0,0,1,0,0,0,0,10,0,0,0,0,1,0,1,0,0,1,0
688.76,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0
634.14,0,1,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,4,2,1,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0
694.38,0,1,0,0,0,1,0,0,0,1,0,0,13,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
724.68,0,1,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
957.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
