NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
320.8,1,0,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,6,4,0,0,0,0,0,1,4,1,1,1,0,0,0,1,0,0,1,0
691.04,0,1,0,0,1,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,9,5,0,0,0,0,1,0,0,0,1,0
649.9,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
893.5,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
814.4,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
876.2,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
621.66,0,1,0,0,1,0,1,0,0,1,0,0,6,3,2,0,0,0,0,0,11,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0
863.45,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
706.22,0,1,0,0,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,0,0,0
423.65,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1
415.7,1,0,0,0,0,0,1,1,0,0,1,0,3,3,2,0,0,0,0,0,2,5,1,2,0,0,0,1,0,4,4,0,0,0,0,1,1,0,0,0
889.35,1,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
607.96,0,1,0,0,1,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,4,2,0,0,0,1,0,1,0,0,1,0
729.98,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
887.3,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
923.6,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0
764.15,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
520.95,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,1,7,0,0,3,0,0,0,1,7,2,0,0,0,0,0,1,1,0,0,0
657.36,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1,0,0,1,0
548.45,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
911.05,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
563.7,1,0,0,0,0,0,1,0,0,1,0,0,6,2,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,0,0,0
