feature,importancia_media
periodo_3_disciplinas_aprovadas,0.07527073356447804
periodo_2_disciplinas_aprovadas,0.06475214594890898
periodo_1_disciplinas_aprovadas,0.049943652028958715
NOTA_INGRESSO,0.04331492958900969
periodo_3_disciplinas_ri,0.029249561955011553
TIPO_INGRESSO_PISM,0.010165449143075638
periodo_1_disciplinas_ri,0.0090608960370709
periodo_1_AE,0.008837461157706316
periodo_3_disciplinas_reprovadas,0.007850754163627674
periodo_1_disciplinas_reprovadas,0.00768079728151167
TIPO_INGRESSO_SISU,0.007179575167045675
periodo_2_disciplinas_ri,0.005209467537387862
periodo_2_disciplinas_reprovadas,0.004402171195278225
periodo_3_AE,0.004014448083846192
etnia_BRANCA,0.004002781981857582
periodo_3_disciplinas_trancadas,0.0030830229295243762
etnia_PARDA,0.00262665844758552
periodo_3_bolsa_remunerada,0.002391898220666594
periodo_3_bolsa_n_remunerada,0.001894223568993639
periodo_2_disciplinas_trancadas,0.0015241018385010229
periodo_2_bolsa_remunerada,0.0012934096726086863
cota_ampla_concorrencia,0.0009565165180305477
periodo_1_bolsa_remunerada,0.0008707939478655072
genero_masculino,0.0007225563169359511
cota_renda,0.0006803919775100069
cota_escola_publica,0.0005978209962689214
etnia_PRETA,0.0004547704886864418
periodo_2_AE,0.0003936762949237676
periodo_1_disciplinas_trancadas,0.00031693462955759957
etnia_OUTRA,0.00024252371293785813
cota_racial,0.0002075909419488807
periodo_2_bolsa_n_remunerada,0.00012744173763367723
periodo_3_disciplinas_outros_status,1.0567321163388562e-06
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_1_disciplinas_outros_status,0.0
genero_feminino,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
cota_pcd,0.0
periodo_2_disciplinas_outros_status,0.0
