nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
904.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
531.9,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,10,0,0,0,0,0,1,1,6,1,0,0,0,0,1,1,1,0,0,0
402.2,1,0,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,6,4,0,0,0,0,0,1,7,1,0,0,0,0,0,1,0,0,0,1
879.9,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
709.06,0,1,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
645.5,0,1,0,0,0,0,1,0,0,1,0,0,5,3,0,0,0,0,0,0,1,5,2,4,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
532.0,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
984.7,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
584.76,0,1,0,0,1,0,1,0,0,0,1,0,5,3,0,0,0,0,0,0,3,6,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,1,0
693.4,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,7,2,0,0,0,0,0,1,1,0,0,0
613.8,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
259.8,1,0,0,0,0,0,1,1,0,0,1,0,4,9,0,0,0,0,0,0,5,8,0,0,0,0,0,1,1,3,2,0,0,0,0,1,1,0,0,0
575.4,1,0,0,0,0,0,1,0,0,1,0,0,7,1,0,0,0,0,0,0,10,1,0,0,0,0,0,1,9,0,0,0,0,1,0,1,0,0,1,0
678.22,0,1,0,0,0,1,0,0,0,0,1,0,14,1,1,0,0,0,0,0,10,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0
931.05,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0
391.5,1,0,0,0,0,0,1,0,0,0,1,0,5,3,0,0,0,0,0,0,5,4,0,0,0,0,0,0,2,5,0,1,0,0,0,0,1,0,0,0
807.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
708.94,0,1,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0
948.55,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
630.34,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,9,1,0,0,0,1,0,1,8,1,0,0,0,0,0,1,0,0,1,0
939.25,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
943.55,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
885.15,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
658.94,0,1,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0
480.7,1,0,0,0,0,0,1,0,0,0,1,0,11,1,0,0,0,0,0,0,6,6,0,0,0,0,0,1,4,6,1,0,0,0,0,1,0,0,1,0
667.54,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,1,0
655.48,0,1,0,0,0,1,0,0,0,0,1,0,14,1,1,0,0,0,0,0,9,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
953.75,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
919.55,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
1001.1,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
582.7,1,0,0,0,0,1,0,0,0,1,0,0,6,4,0,0,0,0,0,0,10,3,0,0,0,0,0,1,12,3,0,1,0,0,0,1,0,0,1,0
729.98,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
771.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
912.3,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
858.3,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0
841.2,1,0,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,0,0,10,0,0,1,0,1,0,0,0
810.0,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
642.7,0,1,0,0,1,0,1,1,0,0,1,0,7,2,0,1,0,0,0,0,4,1,1,0,0,0,0,1,2,2,1,0,0,0,0,1,0,0,1,0
863.45,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
611.7,0,1,0,0,1,0,1,1,0,1,0,0,13,1,0,0,0,0,0,0,9,2,0,0,0,1,0,0,9,0,0,2,0,1,0,0,0,0,1,0
562.56,0,1,0,0,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0
529.9,1,0,0,0,0,1,0,0,0,0,1,0,14,2,0,0,0,0,0,0,10,1,0,1,0,0,0,0,5,7,0,2,0,0,0,0,1,0,0,0
738.38,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
633.62,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,6,3,0,2,0,0,0,0,1,0,0,0
637.4,1,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1
649.9,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0
722.32,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,0,0
881.4,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,9,0,0,1,0,0,1,0,1,0,0,0
604.78,0,1,0,0,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,1
660.14,0,1,0,0,0,1,0,0,0,0,1,0,16,1,0,0,0,0,0,1,9,2,0,0,0,0,0,1,8,3,0,0,0,0,0,1,1,0,0,0
744.0,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0
649.5,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,5,0,0,0,1,8,0,0,1,0,0,0,1,0,7,4,0,0,0,0,1,0,0,1,0
577.7,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0
952.65,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
635.6,1,0,0,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,1,10,0,1,0,0,0,0,1,4,5,2,0,0,0,0,0,1,0,0,0
551.76,0,1,0,0,1,0,1,1,0,0,1,0,4,6,0,0,0,0,0,0,4,5,2,2,0,0,0,1,4,4,2,0,0,1,0,1,0,0,0,1
586.3,1,0,0,0,0,1,0,0,0,0,1,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
1005.3,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
619.6,1,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
