NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
878.7,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
646.56,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,5,4,0,0,0,0,1,0,1,0,0,0
659.1,0,1,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,9,2,0,0,0,1,0,0,0,0,1,0
667.7,0,1,0,0,1,0,1,0,0,0,1,0,15,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,1,0,0,0,1,0,1,0,0,0,1
600.55,1,0,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
904.15,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,1,0
677.4,0,1,0,0,1,0,1,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
614.68,0,1,0,0,1,0,1,1,0,0,1,0,7,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0
930.45,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
668.64,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0
655.52,0,1,0,0,0,1,0,0,0,0,1,0,1,5,2,0,0,0,0,0,1,2,3,3,0,0,0,0,0,5,4,3,0,0,0,0,1,0,0,0
633.62,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,5,3,1,1,0,0,0,0,6,3,0,2,0,0,0,0,1,0,0,0
910.85,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
906.35,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
992.9,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
661.84,0,1,0,0,1,0,1,0,0,1,0,0,4,6,0,0,0,0,0,1,6,2,0,2,0,0,0,1,0,1,5,0,0,0,0,1,0,0,1,0
667.54,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,1,0
644.34,0,1,0,0,1,0,1,0,0,0,1,0,12,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0
565.35,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0
651.46,0,1,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
711.62,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
499.6,1,0,0,0,1,0,1,0,0,1,0,0,10,3,0,0,0,0,0,0,6,5,0,1,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1,0
616.9,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,4,0,0,5,0,0,1,1,0,0,1,0
950.6,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
984.25,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
365.2,1,0,0,0,0,0,1,1,0,0,1,0,5,6,0,0,0,0,0,0,5,4,2,0,0,0,0,0,5,2,0,0,0,0,0,1,1,0,0,0
615.4,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0
516.2,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0
998.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
635.6,1,0,0,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,1,10,0,1,0,0,0,0,1,4,5,2,0,0,0,0,0,1,0,0,0
855.95,1,0,0,0,0,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
883.25,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
544.45,1,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
562.3,1,0,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,9,0,0,2,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,1
625.04,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,2,0,0,0,0,2,4,0,0,0,0,0,1,7,3,0,0,0,0,0,1,1,0,0,0
305.1,1,0,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,2,5,2,2,0,0,0,0,1,0,0,0
931.05,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0
887.3,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
653.66,0,1,0,0,0,1,0,0,0,0,1,0,0,3,10,0,0,0,0,0,1,6,6,0,0,0,0,0,0,3,9,0,0,0,0,0,1,0,0,0
572.7,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,1,7,3,0,0,0,0,0,1,7,2,0,0,0,0,0,1,0,0,0,1
334.6,1,0,0,0,1,0,1,1,0,0,1,0,8,2,0,0,0,0,0,0,6,4,1,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,1
1051.85,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
532.0,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,9,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
585.44,0,1,0,0,0,0,1,0,0,0,1,0,8,3,0,0,0,0,0,0,7,3,1,0,0,0,0,0,5,7,0,0,0,0,0,1,1,0,0,0
618.56,0,1,0,0,1,0,1,0,0,1,0,0,6,2,0,0,0,0,0,0,5,0,2,3,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0
752.85,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
759.72,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
684.88,0,1,0,0,0,0,1,0,0,1,0,0,19,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
681.18,0,1,0,0,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0
669.12,0,1,0,0,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0
677.14,0,1,0,0,0,0,1,1,0,0,1,0,12,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,9,0,0,0,0,1,0,1,1,0,0,0
877.2,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
666.9,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
529.9,1,0,0,0,0,1,0,0,0,0,1,0,14,2,0,0,0,0,0,0,10,1,0,1,0,0,0,0,5,7,0,2,0,0,0,0,1,0,0,0
700.28,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,8,1,0,0,0,1,0,0,1,0,0,0
840.2,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
541.0,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
668.02,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
695.08,0,1,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0
844.8,1,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1
657.36,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1,0,0,1,0
660.14,0,1,0,0,0,1,0,0,0,0,1,0,16,1,0,0,0,0,0,1,9,2,0,0,0,0,0,1,8,3,0,0,0,0,0,1,1,0,0,0
434.4,1,0,0,0,0,0,1,0,0,0,1,0,3,5,1,1,0,0,0,0,6,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
1001.1,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
681.86,0,1,0,0,0,0,1,0,0,0,1,0,3,7,0,0,0,0,0,0,7,2,5,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,1,0
