feature,importancia_media
periodo_2_disciplinas_aprovadas,0.094759927754683
periodo_3_disciplinas_aprovadas,0.05993318794055743
periodo_1_disciplinas_aprovadas,0.058938649429900195
nota_ingresso,0.053884030734745646
genero_masculino,0.022831779662073344
periodo_3_disciplinas_reprovadas,0.02209297312013718
periodo_3_disciplinas_ri,0.021341167269662436
periodo_2_disciplinas_reprovadas,0.015397976115586054
periodo_1_disciplinas_ri,0.01063229958425668
tipo_ingresso_pism,0.010398925140535632
periodo_1_ae,0.010134691488791179
periodo_3_bolsa_remunerada,0.00909208102863816
tipo_ingresso_sisu,0.008944393356485685
cota_ampla_concorrencia,0.007673003795386332
etnia_branca,0.006984438701875073
etnia_parda,0.006943204445994171
genero_feminino,0.006706474738744745
periodo_2_disciplinas_ri,0.004459404324981717
cota_renda,0.003431469027578064
periodo_2_disciplinas_trancadas,0.003383841236155797
periodo_1_disciplinas_reprovadas,0.0028982436521279406
periodo_3_ae,0.00285954469407101
cota_escola_publica,0.0021608402631612877
etnia_outra,0.0017982428320797313
periodo_3_bolsa_n_remunerada,0.001214326944063103
periodo_3_disciplinas_trancadas,0.0009542763486188665
etnia_preta,0.0006874630025224764
cota_racial,0.0005996803685353666
periodo_2_ae,0.0005564650199207043
periodo_2_bolsa_remunerada,0.0004211292705078492
periodo_2_bolsa_n_remunerada,0.00033286199940805837
periodo_1_disciplinas_trancadas,0.0001190291319769947
periodo_1_bolsa_remunerada,7.261972131486139e-07
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
