feature,importancia_media
periodo_4_disciplinas_aprovadas,0.10390157784845952
NOTA_INGRESSO,0.0472578595610387
periodo_1_disciplinas_aprovadas,0.042655639575580474
genero_masculino,0.02984122676483342
periodo_2_disciplinas_aprovadas,0.029488516715930186
periodo_4_disciplinas_trancadas,0.026097878754450413
TIPO_INGRESSO_PISM,0.024638209266404986
periodo_2_disciplinas_reprovadas,0.02418642982151396
periodo_1_disciplinas_ri,0.019497246721639064
cota_renda,0.016440156953059372
etnia_BRANCA,0.012413586775062593
periodo_3_disciplinas_aprovadas,0.011485850136117547
periodo_1_disciplinas_reprovadas,0.010393608540210608
periodo_4_bolsa_remunerada,0.009410635664538751
genero_feminino,0.0079613609863841
periodo_3_disciplinas_reprovadas,0.007146071382606123
periodo_4_disciplinas_reprovadas,0.006899934822572668
periodo_4_disciplinas_ri,0.006049731418881809
periodo_2_disciplinas_ri,0.006009756876923861
TIPO_INGRESSO_SISU,0.00546340028782726
periodo_2_disciplinas_trancadas,0.005327511272243808
periodo_3_bolsa_remunerada,0.005126433120809272
periodo_1_AE,0.0050557382391516106
periodo_4_AE,0.0041257138356028756
periodo_3_bolsa_n_remunerada,0.0023746165312329985
etnia_PARDA,0.002197310606397133
periodo_3_disciplinas_ri,0.002181341019334118
cota_racial,0.0018433294039512764
periodo_1_disciplinas_trancadas,0.001679031173276279
periodo_2_bolsa_remunerada,0.00154099883958109
periodo_2_AE,0.0014079293881452386
cota_ampla_concorrencia,0.0013330492316656925
periodo_4_bolsa_n_remunerada,0.0008898417843056725
periodo_3_AE,0.0007223734421355198
etnia_PRETA,0.0006123210629069122
cota_escola_publica,0.00039881946905888035
periodo_3_disciplinas_trancadas,0.0002575856725009676
periodo_2_bolsa_n_remunerada,0.0001234302248141371
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
etnia_OUTRA,0.0
