NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
801.4,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0
795.78,0,1,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0
766.22,0,1,0,0,1,0,1,0,0,1,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0
747.52,0,1,0,0,1,0,1,1,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
789.42,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0
996.0,1,0,0,0,0,1,0,0,0,0,1,0,23,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
802.58,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
786.72,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0
788.56,0,1,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
1099.7,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
