feature,importancia_media
periodo_1_disciplinas_aprovadas,0.04699273085239882
nota_ingresso,0.029211452745370414
periodo_2_disciplinas_aprovadas,0.02223769978883493
tipo_ingresso_pism,0.013135690864988716
cota_ampla_concorrencia,0.010703773439152077
cota_escola_publica,0.007099932777928125
tipo_ingresso_sisu,0.004617780233648954
cota_renda,0.0029585816625005384
etnia_parda,0.0027155012858802465
periodo_1_disciplinas_reprovadas,0.0027104074993561608
genero_masculino,0.002682529491401049
genero_feminino,0.002444851487676262
periodo_2_ae,0.001815476987821177
etnia_branca,0.0015304608992138492
periodo_2_bolsa_n_remunerada,0.001362889453726277
periodo_2_disciplinas_trancadas,0.001129331022862664
periodo_2_bolsa_remunerada,0.0006908875133886948
periodo_1_disciplinas_ri,0.000672601571234448
cota_racial,0.0006547464841392004
periodo_1_ae,0.000640338262921946
periodo_1_bolsa_n_remunerada,0.0005168738313874806
periodo_2_disciplinas_reprovadas,0.00038033121159385607
etnia_preta,0.0002752356317050913
periodo_1_disciplinas_trancadas,0.00011364996074991706
cota_pcd,2.1268305258846436e-05
etnia_outra,2.1158935061670057e-05
periodo_2_disciplinas_ri,8.47848363828989e-06
periodo_1_bolsa_remunerada,2.2688664818589925e-06
tipo_ingresso_outros,0.0
genero_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
