nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
805.32,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
1007.4,1,0,0,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
747.0,0,1,0,0,1,0,1,1,0,1,0,0,22,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
787.18,0,1,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
797.5,0,1,0,0,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0,1,0
793.0,1,0,0,0,1,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1
656.8,1,0,0,0,1,0,1,1,0,0,1,0,22,0,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,1,0
809.34,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
773.9,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0
795.34,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0
785.38,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
1062.5,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
832.1,1,0,0,0,1,0,1,1,0,0,1,0,10,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,1,0
756.6,1,0,0,0,1,0,1,1,0,0,1,0,23,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0
923.8,1,0,0,0,0,0,1,1,0,0,1,0,10,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,1,0
793.66,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0
994.2,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0
1018.05,1,0,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
799.42,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0
874.2,1,0,0,0,0,0,1,1,0,1,0,0,23,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,1,0
927.4,1,0,0,0,0,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,2,0,0,0,1,1,0,0,0
941.9,1,0,0,0,0,0,1,1,0,1,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0
822.1,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
664.05,1,0,0,0,1,0,1,1,0,1,0,0,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
772.14,0,1,0,0,0,0,1,1,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
