feature,importancia_media
periodo_1_disciplinas_aprovadas,0.04150395053951503
nota_ingresso,0.026113186283257657
periodo_2_disciplinas_aprovadas,0.019595651597303865
tipo_ingresso_pism,0.016946274046813006
cota_ampla_concorrencia,0.009577852210705834
periodo_1_disciplinas_reprovadas,0.0020798820380162125
genero_masculino,0.0020745387672990875
etnia_parda,0.001634831339790699
cota_renda,0.0014609047153612607
tipo_ingresso_sisu,0.0013342037234202956
periodo_1_bolsa_n_remunerada,0.0012389758960777027
periodo_2_ae,0.0010422211698101348
periodo_2_bolsa_n_remunerada,0.000989175587741559
etnia_branca,0.0009472400837322486
cota_escola_publica,0.0008061618876443709
cota_racial,0.0003504088476573581
periodo_1_disciplinas_ri,0.0003448558430711222
periodo_2_disciplinas_trancadas,0.00033243013503961305
genero_feminino,0.00012840061129084238
periodo_2_disciplinas_reprovadas,7.06952395802553e-05
periodo_1_ae,4.012361642090458e-05
etnia_preta,1.1460883043569046e-05
tipo_ingresso_outros,0.0
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_trancadas,0.0
genero_outros,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
etnia_outra,0.0
