feature,importancia_media
periodo_1_disciplinas_aprovadas,0.06900780250136757
periodo_3_disciplinas_aprovadas,0.03226425542180299
periodo_2_disciplinas_aprovadas,0.026967802296805284
genero_masculino,0.01860778981896249
periodo_3_disciplinas_reprovadas,0.012725260705674021
nota_ingresso,0.012108299261646659
cota_ampla_concorrencia,0.010642682143039081
tipo_ingresso_pism,0.008508164769850316
periodo_3_ae,0.007401495836227466
genero_feminino,0.0063654092662878865
cota_escola_publica,0.006186041043283759
cota_racial,0.005849599459360483
periodo_1_disciplinas_trancadas,0.005323673024606444
tipo_ingresso_sisu,0.005212939357601494
periodo_3_bolsa_n_remunerada,0.004565921303649258
periodo_3_disciplinas_trancadas,0.004524708029426451
periodo_2_disciplinas_trancadas,0.003515969885939657
periodo_1_disciplinas_reprovadas,0.00333064984595217
periodo_1_ae,0.003299668709636803
periodo_2_bolsa_n_remunerada,0.003136845488524311
etnia_branca,0.0031165641797329577
periodo_2_ae,0.003039666941735542
etnia_parda,0.002339766426063464
cota_renda,0.0016313671156195848
etnia_preta,0.0012281293910080331
periodo_3_disciplinas_ri,0.0011254018250776248
periodo_3_bolsa_remunerada,0.0007090114897734239
periodo_1_disciplinas_ri,0.0006620999228435896
periodo_2_disciplinas_reprovadas,0.0005582656838781405
periodo_2_bolsa_remunerada,0.00041225658824489415
periodo_2_disciplinas_ri,0.00011401573196436837
cota_pcd,9.708237194641231e-05
etnia_outra,7.463012747544561e-05
periodo_1_bolsa_remunerada,4.7307213961915154e-05
periodo_1_bolsa_n_remunerada,3.7728850095130576e-05
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
periodo_1_disciplinas_outros_status,0.0
genero_outros,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
