feature,importancia_media
periodo_1_disciplinas_aprovadas,0.047772806563733165
nota_ingresso,0.02089857303835839
periodo_2_disciplinas_aprovadas,0.018347842332618575
periodo_3_disciplinas_aprovadas,0.015017355240487931
periodo_3_disciplinas_reprovadas,0.011131900476906343
periodo_2_bolsa_n_remunerada,0.005750691381603404
periodo_3_bolsa_n_remunerada,0.005258435669853902
periodo_3_disciplinas_trancadas,0.0022763012958335795
etnia_parda,0.0020846773056134283
periodo_3_ae,0.0020589727624606684
genero_masculino,0.0018708832336207038
periodo_1_disciplinas_reprovadas,0.0014247242518853924
cota_ampla_concorrencia,0.0014065419353663062
tipo_ingresso_pism,0.0012957246082566207
periodo_1_disciplinas_trancadas,0.0012489074487819184
cota_racial,0.0008568034930731368
genero_feminino,0.0007987506835694893
cota_escola_publica,0.0006318075863354413
tipo_ingresso_sisu,0.00048404892742803666
etnia_branca,0.00048315653107727324
periodo_2_ae,0.0004000966894450338
cota_renda,0.00035711839145458995
periodo_3_disciplinas_ri,3.4237432047562736e-05
periodo_2_disciplinas_ri,1.597813020262963e-05
cota_pcd,7.692397690939737e-06
periodo_3_bolsa_remunerada,6.252338409985242e-06
periodo_1_bolsa_n_remunerada,3.4068503945675957e-06
periodo_2_bolsa_remunerada,2.3617436490720694e-06
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_outros_status,0.0
genero_outros,0.0
periodo_1_disciplinas_ri,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_reprovadas,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_ae,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
etnia_outra,0.0
etnia_preta,0.0
