NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
1043.8,1,0,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,1,0,0,0
784.84,0,1,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
752.5,1,0,0,0,0,0,1,1,0,0,1,0,22,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,16,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1,1,0,0,0
978.5,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
1016.5,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,1,0
788.98,0,1,0,0,0,1,0,0,0,1,0,0,22,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
849.6,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
751.94,0,1,0,0,0,0,1,1,0,0,1,0,14,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,1,0
787.76,0,1,0,0,0,1,0,0,0,0,1,0,21,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
694.3,1,0,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,9,0,0,0,0,1,0,1,0,0,1,0
775.18,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
782.86,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0
780.98,0,1,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,11,0,0,0,0,1,0,1,7,0,0,0,0,1,0,1,0,0,1,0
750.36,0,1,0,0,0,0,1,1,0,1,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0
962.9,1,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
780.12,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
794.32,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
1071.2,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0
1051.05,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
788.46,0,1,0,0,0,1,0,0,0,0,1,0,21,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,14,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0
800.72,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
816.22,0,1,0,0,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,10,0,2,0,0,0,1,0,0,0,0,0
789.0,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
763.78,0,1,0,0,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,1,0
794.96,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
730.82,0,1,0,0,1,0,1,1,0,0,1,0,27,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,9,0,0,0,0,0,1,1,0,0,1,0
1119.4,1,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,1,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
807.0,0,1,0,0,0,1,0,0,0,0,1,0,23,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,1,0,0,0
1019.8,1,0,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
777.22,0,1,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
822.1,0,1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
742.14,0,1,0,0,1,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,1,1,11,0,0,0,0,0,1,1,7,0,0,0,0,0,0,1,0,0,1,0
