feature,importancia_media
periodo_1_disciplinas_aprovadas,0.028264641946014153
periodo_4_disciplinas_aprovadas,0.02726472935173662
periodo_3_disciplinas_aprovadas,0.012981006858026771
nota_ingresso,0.006459991512628568
periodo_1_disciplinas_trancadas,0.005483969846345303
periodo_3_disciplinas_reprovadas,0.005352625072068499
periodo_2_disciplinas_aprovadas,0.004545432084407466
etnia_branca,0.004100177630777646
cota_ampla_concorrencia,0.003948051554436018
periodo_4_disciplinas_trancadas,0.002740751163803742
genero_masculino,0.002310282549592395
periodo_4_bolsa_n_remunerada,0.0020603174763607615
periodo_3_ae,0.0019017495862258598
periodo_1_disciplinas_reprovadas,0.0015567830244576867
genero_feminino,0.0013178576255653465
periodo_1_ae,0.0012740015721337875
periodo_4_disciplinas_ri,0.0012188669183690961
periodo_1_disciplinas_ri,0.000863708896635301
periodo_4_bolsa_remunerada,0.0007928141498300692
periodo_3_bolsa_remunerada,0.0007356942378801016
periodo_2_ae,0.000676826516906174
cota_escola_publica,0.000504609699706629
cota_racial,0.0004322231125301832
etnia_parda,0.0003238665731111138
periodo_2_bolsa_n_remunerada,0.0003176951575721952
cota_renda,0.0002903862248689052
periodo_4_disciplinas_reprovadas,0.00028240847192792843
tipo_ingresso_pism,0.000257874115724763
periodo_3_disciplinas_trancadas,0.00024330159631987956
tipo_ingresso_sisu,0.00023933546101431299
etnia_preta,0.0002300458868528365
periodo_2_disciplinas_reprovadas,0.00019667683943447688
periodo_2_bolsa_remunerada,0.00018502683333753044
periodo_3_disciplinas_ri,0.00017213857732229407
periodo_3_bolsa_n_remunerada,0.0001469657108190437
periodo_2_disciplinas_trancadas,0.00013308631331356677
periodo_4_ae,0.0001290526204352043
periodo_2_disciplinas_ri,0.0001180039955929569
periodo_1_bolsa_n_remunerada,1.4607121511608893e-05
etnia_outra,6.203635457873085e-06
periodo_1_bolsa_remunerada,1.9140027192863654e-06
cota_pcd,5.560214063848684e-07
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
