NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
466.75,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
471.25,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
505.95,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
695.95,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
676.56,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
302.15,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,1,1,0,1,5,0,0,0,1,1,0,0,0,1
436.3,1,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,1,0
558.2,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
484.1,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0
660.36,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0
650.36,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
659.78,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
658.52,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0
563.04,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0
585.66,0,1,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0
636.78,0,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0
363.0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
560.78,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
631.22,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0
628.62,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
705.28,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0
543.74,0,1,0,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
296.1,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0
627.6,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
623.04,0,1,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
463.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
543.5,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
511.54,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1
679.3,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
874.2,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
609.55,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
540.0,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,2,3,1,0,0,1,0,1,1,0,0,0
516.9,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,1,0,0
638.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,1,0,0,0
554.7,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
643.06,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
551.45,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
423.6,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
624.94,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0
670.48,0,1,0,0,0,0,1,1,0,1,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
621.62,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
638.1,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
531.7,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0
683.2,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
647.86,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
626.04,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
468.04,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,1,0
714.75,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
282.6,1,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
393.25,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
661.2,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
479.26,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
259.0,1,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
646.78,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,4,1,5,0,0,0,0,1,0,0,0
575.72,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0
654.35,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0
605.88,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
628.92,0,1,0,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0
