feature,importancia_media
periodo_4_disciplinas_aprovadas,0.11522438230525239
periodo_3_disciplinas_aprovadas,0.07212420014614733
periodo_4_ae,0.03222687836458572
periodo_2_disciplinas_aprovadas,0.019547609080562498
periodo_4_bolsa_remunerada,0.011325991633496396
nota_ingresso,0.010094257744847913
periodo_4_disciplinas_reprovadas,0.009937568444263026
periodo_3_disciplinas_reprovadas,0.0096104090812173
periodo_1_disciplinas_reprovadas,0.00915342177864307
periodo_4_disciplinas_trancadas,0.005770020517297549
periodo_3_bolsa_remunerada,0.004774296103275092
periodo_3_ae,0.004305159647319139
periodo_4_disciplinas_ri,0.0042142868284472425
cota_renda,0.004137432808944983
genero_masculino,0.004028390506684158
periodo_3_disciplinas_ri,0.003705369785374533
periodo_2_disciplinas_trancadas,0.0036243055038021016
periodo_2_disciplinas_ri,0.0034650875810639443
periodo_2_ae,0.0032126140522260697
periodo_1_disciplinas_trancadas,0.0030678473274140367
etnia_preta,0.0030479784780194524
periodo_3_disciplinas_trancadas,0.002897737936232116
periodo_1_disciplinas_aprovadas,0.0026883244201197335
tipo_ingresso_pism,0.002674507657086473
etnia_parda,0.002493094511101335
etnia_branca,0.0023100628895105463
periodo_2_disciplinas_reprovadas,0.0022235361425296473
tipo_ingresso_sisu,0.001782321827713349
genero_feminino,0.0017591076468411624
periodo_2_bolsa_remunerada,0.0016965308727093077
cota_ampla_concorrencia,0.0016321051784670348
periodo_1_ae,0.001072180360931759
cota_racial,0.000999213271787289
cota_escola_publica,0.0004778144554686262
etnia_outra,0.00043620713766366745
periodo_1_bolsa_remunerada,0.00029536604784467297
periodo_3_disciplinas_outros_status,0.0002090624547322084
periodo_1_disciplinas_ri,0.00017382683830258886
periodo_2_bolsa_n_remunerada,9.373515464293737e-05
periodo_3_bolsa_n_remunerada,8.600732862203157e-05
periodo_4_bolsa_n_remunerada,6.518650485354643e-05
periodo_1_bolsa_n_remunerada,1.3604849784638874e-05
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
