feature,importancia_media
periodo_4_disciplinas_aprovadas,0.08809419721698318
periodo_2_disciplinas_aprovadas,0.08044137642620296
periodo_3_disciplinas_aprovadas,0.05865095336831924
NOTA_INGRESSO,0.03708309481930318
periodo_3_disciplinas_reprovadas,0.03307874637485369
cota_renda,0.025540175424087277
periodo_4_AE,0.02416653414325848
periodo_4_disciplinas_reprovadas,0.022645568096118607
periodo_2_disciplinas_trancadas,0.01711537803673359
periodo_4_bolsa_remunerada,0.0139426958909114
periodo_1_disciplinas_aprovadas,0.009385111366243098
periodo_1_disciplinas_reprovadas,0.008441696198097218
TIPO_INGRESSO_PISM,0.007371867233974928
periodo_3_bolsa_remunerada,0.0065050132705537405
periodo_4_disciplinas_ri,0.006333186505163632
periodo_3_disciplinas_trancadas,0.006088019683271873
etnia_BRANCA,0.004402761276870541
etnia_PARDA,0.004251340427547134
TIPO_INGRESSO_SISU,0.003636327994102038
periodo_4_disciplinas_trancadas,0.0035180637235761635
cota_ampla_concorrencia,0.003164069369366545
periodo_2_bolsa_remunerada,0.0031366464575197915
etnia_PRETA,0.00306690318884654
cota_racial,0.0023548043428212144
periodo_2_disciplinas_reprovadas,0.0020158473789378376
periodo_2_AE,0.001960363744582899
periodo_3_AE,0.0017832178788362793
periodo_3_disciplinas_ri,0.0014514275389517514
cota_escola_publica,0.0008723209869238066
periodo_2_disciplinas_ri,0.000822582474547453
periodo_3_disciplinas_outros_status,0.0007397340969599573
periodo_1_AE,0.0005410880044712232
periodo_1_bolsa_remunerada,0.00042055085830534667
periodo_4_disciplinas_outros_status,0.0002813329396362424
periodo_1_disciplinas_ri,0.0002361283608089507
etnia_OUTRA,0.00020735266887669793
genero_feminino,0.00017927652209537767
periodo_1_disciplinas_trancadas,0.00012174754862482999
periodo_3_bolsa_n_remunerada,9.197862703703988e-05
periodo_4_bolsa_n_remunerada,4.557582868287673e-05
periodo_2_bolsa_n_remunerada,2.3581755482023704e-05
genero_masculino,0.0
cota_pcd,0.0
genero_outros,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
