feature,importancia_media
periodo_3_disciplinas_aprovadas,0.09493714486956036
periodo_4_disciplinas_aprovadas,0.06705940985796698
periodo_2_disciplinas_aprovadas,0.05854599179830657
periodo_4_disciplinas_ri,0.0248578302585861
periodo_3_disciplinas_reprovadas,0.018823724338519275
cota_ampla_concorrencia,0.018648381023619504
periodo_4_ae,0.018627017017817344
tipo_ingresso_pism,0.015384777988415919
nota_ingresso,0.010259619076408112
cota_renda,0.00797941821771465
cota_escola_publica,0.004322028632084821
periodo_4_bolsa_remunerada,0.003877372999768571
etnia_parda,0.003471660197159481
periodo_3_disciplinas_trancadas,0.0034361257646291217
tipo_ingresso_sisu,0.0028521162953151122
cota_racial,0.0021445664102574076
periodo_3_ae,0.0016529273047018042
periodo_2_bolsa_remunerada,0.0012729126803529768
periodo_3_disciplinas_ri,0.0012652534733590137
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_ri,0.0
genero_outros,0.0
genero_feminino,0.0
genero_masculino,0.0
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
periodo_1_disciplinas_reprovadas,0.0
periodo_1_disciplinas_aprovadas,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_ae,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_ae,0.0
periodo_2_disciplinas_reprovadas,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_trancadas,0.0
periodo_4_disciplinas_reprovadas,0.0
periodo_3_bolsa_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_branca,0.0
etnia_outra,0.0
etnia_preta,0.0
