feature,importancia_media
periodo_4_disciplinas_aprovadas,0.12571703383343616
periodo_3_disciplinas_aprovadas,0.08713938884643505
NOTA_INGRESSO,0.03829607374339093
periodo_4_AE,0.03596514401552247
periodo_2_disciplinas_aprovadas,0.030191195687539356
periodo_4_disciplinas_reprovadas,0.027154148031049003
periodo_4_bolsa_remunerada,0.026143494904191655
cota_renda,0.02471623185413496
periodo_3_disciplinas_reprovadas,0.02464491201806909
periodo_4_disciplinas_trancadas,0.024327357078736966
periodo_1_disciplinas_aprovadas,0.01586175631820206
cota_racial,0.010482112118278153
genero_masculino,0.007625184275324866
periodo_3_disciplinas_trancadas,0.007336369171227811
etnia_PARDA,0.006853802702321745
periodo_3_bolsa_remunerada,0.006835762215723852
periodo_2_disciplinas_trancadas,0.00593018025751605
periodo_1_disciplinas_reprovadas,0.005258950273844721
genero_feminino,0.004017146539936262
cota_ampla_concorrencia,0.00373965838203132
etnia_PRETA,0.0034936560877558494
periodo_4_disciplinas_ri,0.003221710876883116
periodo_2_disciplinas_ri,0.00318550001634171
periodo_2_disciplinas_reprovadas,0.003063529256411791
TIPO_INGRESSO_PISM,0.0029962255280102544
periodo_1_disciplinas_trancadas,0.002230324164765147
periodo_3_AE,0.002213196566970486
periodo_3_disciplinas_ri,0.0021314989891752668
periodo_2_bolsa_remunerada,0.0017162253795230205
etnia_BRANCA,0.0017049434452124268
cota_escola_publica,0.0015033594418603878
periodo_2_AE,0.0014894128707868461
TIPO_INGRESSO_SISU,0.0012342324213204115
periodo_1_AE,0.0012233365622093889
etnia_OUTRA,0.0008964247490255732
periodo_3_disciplinas_outros_status,0.0004776506749678537
periodo_4_disciplinas_outros_status,0.00042493094858557474
periodo_1_disciplinas_ri,0.00018715133176237662
periodo_1_bolsa_remunerada,7.14312977945634e-05
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_4_bolsa_n_remunerada,0.0
