feature,importancia_media
nota_ingresso,0.07369681794556185
periodo_2_disciplinas_aprovadas,0.059447307684817735
periodo_2_disciplinas_ri,0.05073792111177023
periodo_1_ae,0.024198035077283468
periodo_1_disciplinas_aprovadas,0.02215655886859412
etnia_branca,0.0204797436875125
periodo_1_disciplinas_reprovadas,0.020099388203479434
periodo_2_disciplinas_trancadas,0.019493018653334807
periodo_1_disciplinas_ri,0.013503399059140341
periodo_2_ae,0.008098914927357833
periodo_2_disciplinas_reprovadas,0.007867888127593826
genero_masculino,0.007028115906741396
tipo_ingresso_pism,0.005434446379844282
cota_racial,0.004684302401825498
cota_renda,0.004126623561922141
etnia_parda,0.002259248704663749
cota_ampla_concorrencia,0.0021477356140171947
cota_escola_publica,0.0021330100030711274
genero_feminino,0.0018535234429074743
periodo_1_disciplinas_trancadas,0.0014170053441873588
periodo_2_bolsa_remunerada,0.0013097958146769172
etnia_preta,0.0009899568531593587
tipo_ingresso_sisu,0.000946224707032725
periodo_2_bolsa_n_remunerada,0.0004473849066676904
etnia_outra,0.000418538444434211
periodo_1_bolsa_n_remunerada,2.477861414824418e-05
periodo_1_bolsa_remunerada,1.5554266630438952e-06
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
