feature,importancia_media
nota_ingresso,0.1076233960975748
periodo_2_disciplinas_aprovadas,0.08028392783545436
periodo_2_disciplinas_ri,0.058937097065401366
periodo_1_ae,0.038313113777948084
periodo_1_disciplinas_reprovadas,0.03235628603765377
etnia_branca,0.023445457216041462
periodo_1_disciplinas_aprovadas,0.02321200292155102
periodo_1_disciplinas_ri,0.021843139410150265
periodo_2_disciplinas_trancadas,0.014494842128147105
periodo_2_disciplinas_reprovadas,0.011081950333550104
cota_renda,0.004797528585360288
genero_masculino,0.00294243483386123
tipo_ingresso_sisu,0.002512321086270714
cota_racial,0.0019900179082828536
tipo_ingresso_pism,0.001987462152675549
periodo_2_ae,0.0014734181000011582
cota_escola_publica,0.0
periodo_1_disciplinas_trancadas,0.0
cota_pcd,0.0
genero_feminino,0.0
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_ampla_concorrencia,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_parda,0.0
etnia_preta,0.0
