feature,importancia_media
NOTA_INGRESSO,0.09740712234151953
periodo_2_disciplinas_aprovadas,0.05551003292146837
periodo_2_disciplinas_ri,0.037798706920025675
cota_renda,0.028643565376477696
periodo_1_AE,0.02702780442505627
periodo_2_disciplinas_reprovadas,0.026148960459633677
cota_racial,0.021253771935842797
periodo_1_disciplinas_aprovadas,0.01819482907527027
etnia_BRANCA,0.01816631433400139
periodo_2_disciplinas_trancadas,0.013027266230078733
periodo_1_disciplinas_ri,0.013025715336022477
periodo_1_disciplinas_reprovadas,0.009188268215237251
periodo_1_disciplinas_trancadas,0.008231493181601972
genero_masculino,0.005844782823092631
periodo_2_bolsa_remunerada,0.005827499107101748
periodo_2_AE,0.005668205349644954
etnia_PRETA,0.0025750381573501143
etnia_PARDA,0.001805448923729475
TIPO_INGRESSO_PISM,0.001286147685149564
cota_ampla_concorrencia,0.0010281144544991593
periodo_2_bolsa_n_remunerada,0.0006356751231126658
cota_pcd,0.00038105147752118674
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
cota_escola_publica,0.0
genero_feminino,0.0
genero_outros,0.0
TIPO_INGRESSO_SISU,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
etnia_OUTRA,0.0
