feature,importancia_media
periodo_3_disciplinas_aprovadas,0.09068956547527533
nota_ingresso,0.059473490183273144
periodo_2_disciplinas_ri,0.023962565498994916
periodo_1_disciplinas_aprovadas,0.02332091368013724
periodo_2_disciplinas_aprovadas,0.02192314733339101
periodo_3_bolsa_remunerada,0.01873885538063477
etnia_parda,0.01745994416444997
periodo_3_ae,0.014491165447431629
periodo_2_disciplinas_trancadas,0.013519471902486518
periodo_1_ae,0.012554810527519524
cota_ampla_concorrencia,0.007645191966884825
cota_racial,0.00736392938146474
periodo_1_disciplinas_ri,0.006107400596797365
periodo_1_disciplinas_reprovadas,0.005923236564519297
etnia_branca,0.005225371439171485
periodo_3_disciplinas_reprovadas,0.005073164264689649
genero_masculino,0.00398433575876581
cota_renda,0.0035454548598899717
periodo_3_disciplinas_trancadas,0.00299699611775114
genero_feminino,0.002836240936384096
periodo_2_ae,0.002298523082736085
periodo_2_disciplinas_reprovadas,0.002205596170641475
tipo_ingresso_pism,0.0019249367410634063
periodo_3_disciplinas_ri,0.0013885979434213722
periodo_2_bolsa_remunerada,0.0012723751519928106
cota_escola_publica,0.0010864695134680342
tipo_ingresso_sisu,0.0010657499373551134
periodo_1_disciplinas_trancadas,0.0010266354906643001
etnia_preta,0.0010210264512272315
cota_pcd,0.0005258125024038976
periodo_3_bolsa_n_remunerada,0.00012247428293538695
periodo_2_bolsa_n_remunerada,0.00010465445506961108
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
genero_outros,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
etnia_outra,0.0
