nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
639.9,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
689.7,1,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,1,0
714.1,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,7,0,0,1,0,0,1,1,1,0,0,0
799.55,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
736.72,0,1,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
692.22,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
689.3,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0
682.92,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,1,0
496.7,1,0,0,0,0,0,1,1,0,0,1,0,4,2,0,0,0,1,0,1,7,1,0,1,0,0,0,1,9,0,0,0,0,0,0,1,9,0,0,0,0,1,0,1,0,0,1,0
704.58,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
736.4,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
726.4,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0
801.1,1,0,0,0,0,1,0,0,0,1,0,0,3,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
684.52,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,1,0
599.6,1,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
715.72,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
510.8,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0
802.3,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
486.6,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
