NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
751.52,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
715.18,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0
842.8,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
713.82,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
881.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0
739.06,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0
689.7,1,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,1,0
706.92,0,1,0,0,0,1,0,0,0,1,0,0,13,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
472.6,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
689.86,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0
841.5,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
620.45,1,0,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,1,0
708.48,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
522.3,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,9,0,0,0,0,1,0,1,1,0,0,0
760.8,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
740.18,0,1,0,0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0
588.18,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
769.0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
826.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,8,0,0,1,0,1,0,0,1,0,0,0
639.42,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,6,0,0,2,0,1,0,0,8,0,0,1,0,0,0,0,1,0,0,0
588.88,0,1,0,0,0,0,1,1,0,0,1,0,10,2,1,0,0,0,0,0,4,1,0,1,0,0,0,0,3,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
