feature,importancia_media
periodo_2_disciplinas_aprovadas,0.13721765764938015
NOTA_INGRESSO,0.04207050752473433
periodo_1_disciplinas_reprovadas,0.04199605249041051
periodo_2_disciplinas_ri,0.04004505078926932
periodo_1_disciplinas_aprovadas,0.03989704014942207
periodo_1_disciplinas_trancadas,0.02620692033519557
periodo_1_disciplinas_ri,0.025096565450611952
periodo_2_disciplinas_trancadas,0.02180625118686146
periodo_2_disciplinas_reprovadas,0.0077151883664738205
periodo_2_bolsa_n_remunerada,0.005465803670704184
periodo_2_bolsa_remunerada,0.004939873130083419
genero_masculino,0.004432002439397611
etnia_PARDA,0.0041435769109147815
etnia_BRANCA,0.0033980292860588904
cota_ampla_concorrencia,0.002731933197620896
TIPO_INGRESSO_PISM,0.002697832303602717
cota_escola_publica,0.002329481832059514
cota_racial,0.0023229382966028773
etnia_PRETA,0.0023216163647161113
TIPO_INGRESSO_SISU,0.0018471576554372226
genero_feminino,0.0015050885044025212
cota_renda,0.001415130194537186
periodo_2_AE,0.0008367142287346039
etnia_OUTRA,0.0006873085699636355
periodo_1_AE,0.0005011861667731444
periodo_1_disciplinas_outros_status,0.00016494782070584227
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
