NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
680.38,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
649.62,0,1,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
612.48,0,1,0,0,0,0,1,1,0,0,1,0,3,3,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0
673.22,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0
674.28,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
365.9,1,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
624.0,0,1,0,0,1,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
614.9,1,0,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
451.0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0
613.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0
611.68,0,1,0,0,0,0,1,1,0,0,1,0,1,5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0
521.6,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0
417.1,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0
684.5,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,0,0
601.32,0,1,0,0,1,0,1,1,0,1,0,0,3,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0
690.52,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0
713.96,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
654.86,0,1,0,0,0,0,1,0,0,1,0,0,2,1,3,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0
523.2,1,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
609.82,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,1,0
588.88,0,1,0,0,1,0,1,0,0,0,1,0,19,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0
731.76,0,1,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0
649.78,0,1,0,0,0,1,0,0,0,0,1,0,11,0,2,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0
610.84,0,1,0,0,1,0,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
671.5,0,1,0,0,0,1,0,0,0,1,0,0,7,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0
606.02,0,1,0,0,1,0,1,1,0,0,1,0,2,4,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0
759.52,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
679.34,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0
411.8,1,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0
605.9,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
680.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
500.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,3,0,1,0,0,0,0,1,0,0,0
630.66,0,1,0,0,1,0,1,1,0,1,0,0,7,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0
704.4,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0
517.6,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
668.78,0,1,0,0,0,1,0,0,0,1,0,0,23,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
661.04,0,1,0,0,0,1,0,0,0,1,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
650.56,0,1,0,0,0,0,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
632.68,0,1,0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,3,1,1,0,0,0,0,1,0,0,0
679.72,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0
687.7,0,1,0,0,0,1,0,0,0,1,0,0,38,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
640.88,0,1,0,0,1,0,1,0,0,0,1,0,4,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0
632.18,0,1,0,0,1,0,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1
632.0,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,1,0,0,0
657.76,0,1,0,0,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
607.3,0,1,0,0,0,0,1,1,0,1,0,0,1,3,0,2,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0
528.7,1,0,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
619.3,0,1,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0
659.22,0,1,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,1,0,0,1,2,1,2,0,1,0,0,0,0,1,0
652.58,0,1,0,0,0,1,0,0,0,1,0,0,14,2,3,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
672.02,0,1,0,0,0,0,1,1,0,0,1,0,6,2,0,2,0,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0
701.7,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,0,0,0
353.3,1,0,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0
731.94,0,1,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,3,0,1,1,0,1,0,0,1,0,0,0
444.55,1,0,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
278.65,1,0,0,0,0,0,1,0,0,1,0,0,2,2,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
560.25,1,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0
521.44,0,1,0,0,1,0,1,0,0,1,0,0,1,3,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0
657.8,0,1,0,0,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0
615.64,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
669.1,0,1,0,0,0,0,1,0,0,1,0,0,14,0,3,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0
631.32,0,1,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1
622.84,0,1,0,0,1,0,1,1,0,1,0,0,4,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0
