NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
635.54,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
609.82,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,4,2,0,1,0,1,0,0,0,0,1,0
354.9,1,0,0,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,1,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0
652.52,0,1,0,0,0,1,0,0,0,1,0,0,8,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
759.52,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
353.3,1,0,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,2,2,2,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0
685.38,0,1,0,0,0,1,0,0,0,1,0,0,7,3,1,0,0,0,0,0,3,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0
674.28,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
690.52,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
601.8,0,1,0,0,0,1,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0
644.32,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,4,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
694.28,0,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0
607.3,0,1,0,0,0,0,1,1,0,1,0,0,1,3,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
278.65,1,0,0,0,0,0,1,0,0,1,0,0,2,2,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0
607.8,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,1,5,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0
697.74,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
350.25,1,0,0,0,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0
400.7,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
647.4,0,1,0,0,1,0,1,0,0,1,0,0,1,4,1,0,0,0,0,0,2,2,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0
614.46,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,3,2,0,0,0,0,0,1,3,3,0,3,0,0,0,1,0,0,1,0
555.84,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0
