feature,importancia_media
periodo_2_disciplinas_aprovadas,0.11990154782750725
periodo_3_disciplinas_aprovadas,0.07050026710252932
NOTA_INGRESSO,0.027239352243014128
periodo_1_disciplinas_reprovadas,0.026053455719785373
periodo_1_disciplinas_trancadas,0.020164473461401034
periodo_3_disciplinas_reprovadas,0.017827866238633687
periodo_1_disciplinas_ri,0.01689063422573519
periodo_1_disciplinas_aprovadas,0.013722740131480338
etnia_BRANCA,0.003634422709019274
cota_renda,0.0
cota_escola_publica,0.0
cota_ampla_concorrencia,0.0
cota_racial,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_SISU,0.0
TIPO_INGRESSO_PISM,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_AE,0.0
genero_outros,0.0
genero_masculino,0.0
genero_feminino,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_disciplinas_reprovadas,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_AE,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_3_disciplinas_ri,0.0
periodo_2_bolsa_remunerada,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_AE,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
etnia_PRETA,0.0
