nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
288.3,1,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0
690.52,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
658.3,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
669.1,0,1,0,0,0,0,1,0,0,1,0,0,14,0,3,1,0,0,0,0,2,1,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
606.02,0,1,0,0,1,0,1,1,0,0,1,0,2,4,0,0,0,0,0,0,3,3,0,0,0,0,0,1,3,2,1,0,0,0,0,1,0,0,1,0
635.54,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
676.28,0,1,0,0,0,1,0,0,0,0,1,0,7,2,0,2,0,0,0,0,5,0,0,0,0,1,0,0,3,2,1,0,0,1,0,0,1,0,0,0
644.64,0,1,0,0,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,1,0,1,0,1,0,1,0,0,1,0
601.32,0,1,0,0,1,0,1,1,0,1,0,0,3,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0
625.62,0,1,0,0,0,0,1,0,0,1,0,0,1,5,2,0,0,0,0,0,0,2,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
675.36,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
686.64,0,1,0,0,0,1,0,0,0,1,0,0,21,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
649.62,0,1,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,1,0,0,0
659.22,0,1,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,1,0,0,1,2,1,2,0,1,0,0,3,3,0,0,0,1,0,0,0,0,1,0
