curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Sistemas de informação,4,1,XGBoost,1.0,0.7333333333333333,0.7301587301587302,0.7142857142857143,0.7979999999999999,0.8103581272678057,0.20266649634651554,0.216736648470216,1.5,1337,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,,,
Sistemas de informação,4,1,LightGBM,1.0,0.6888888888888889,0.6811111111111111,0.65,0.8260000000000001,0.8148679757156538,0.183946387139979,0.2009616758644013,1.5,1337,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,,,
Sistemas de informação,4,1,CatBoost,1.0,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7950000000000002,0.7961461131461132,0.17379267662142706,0.1976280797257322,1.5,1337,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,,,
Sistemas de informação,4,1,Comite_Arvores_XGB_LGBM_CatBoost,0.9999999999996191,0.6666666666666666,0.6556058320764203,0.6153846153846154,0.8099999999999999,0.8128582202111614,0.18415089930979675,0.2009172140349989,0.76,1337,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,0.33333333333320636,0.33333333333320636,0.33333333333320636
Sistemas de informação,4,2,XGBoost,1.0,0.7333333333333333,0.7240896358543417,0.7857142857142857,0.733,0.7014392059553349,0.1712169715424758,0.24197642000934622,1.5,1338,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,,,
Sistemas de informação,4,2,LightGBM,0.5,0.7111111111111111,0.6912095255452281,0.7796610169491526,0.823,0.7965244319950202,0.15706059748154585,0.20849012713574785,1.5,1338,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8421052631578947,,,
Sistemas de informação,4,2,CatBoost,1.0,0.7777777777777778,0.7762033288349078,0.8076923076923077,0.782,0.7485714285714286,0.16316374939478046,0.201158546602937,1.5,1338,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,,,
Sistemas de informação,4,2,Comite_Arvores_XGB_LGBM_CatBoost,0.8375634517763266,0.7777777777777778,0.7762033288349078,0.8076923076923077,0.815,0.7900185304891187,0.16006194430097287,0.2067788498494544,0.76,1338,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.875,0.33756345177651953,0.32487309644657514,0.33756345177651953
Sistemas de informação,4,3,XGBoost,0.4000000059604645,0.7111111111111111,0.6713697824808936,0.7936507936507936,0.805,0.7715789473684211,0.1947895508245204,0.19131201891626332,1.5,1339,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8,,,
Sistemas de informação,4,3,LightGBM,1.0,0.7333333333333333,0.7333333333333333,0.76,0.744,0.721990243902439,0.19363037100945965,0.22144778301441223,1.5,1339,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8,,,
Sistemas de informação,4,3,CatBoost,0.42857142857142855,0.6666666666666666,0.6051282051282052,0.7692307692307693,0.7989999999999999,0.7647777777777778,0.1756007311230579,0.19325800805596643,1.5,1339,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8181818181818182,,,
Sistemas de informação,4,3,Comite_Arvores_XGB_LGBM_CatBoost,0.3352309354648576,0.6888888888888889,0.639155982905983,0.78125,0.795,0.7699824561403509,0.18222216520337164,0.1943905404771573,0.76,1339,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8181818181818182,0.3308270676690361,0.3308270676690361,0.3383458646615142
Sistemas de informação,4,4,XGBoost,1.0,0.7333333333333333,0.7341269841269841,0.75,0.761,0.7563512767425811,0.16549854274230416,0.21516725452561253,1.5,1340,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.9411764705882353,,,
Sistemas de informação,4,4,LightGBM,1.0,0.6666666666666666,0.658008658008658,0.7272727272727273,0.65,0.6444444444444444,0.1954058877255372,0.3333333333333333,1.5,1340,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,1.0,,,
Sistemas de informação,4,4,CatBoost,0.5,0.5777777777777777,0.5589225589225588,0.6666666666666666,0.581,0.6011599869664386,0.2479572354021222,0.40799959233662547,1.5,1340,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.9473684210526315,,,
Sistemas de informação,4,4,Comite_Arvores_XGB_LGBM_CatBoost,0.7556270096460406,0.6444444444444445,0.6378600823045267,0.7037037037037037,0.735,0.7639396485867074,0.19194568282114483,0.2820180835200586,0.76,1340,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,1.0,0.3258306538048175,0.3461950696676186,0.3279742765272176
Sistemas de informação,4,5,XGBoost,0.875,0.6444444444444445,0.645147123407993,0.6521739130434783,0.716,0.7083174603174603,0.2418605520937684,0.2621527764532301,1.5,1341,104,45,59,0.5673076923076923,16,7,9,0.5625,45,20,25,0.5555555555555556,0.8888888888888888,,,
