feature,importancia_media
periodo_4_disciplinas_aprovadas,0.11391237690361136
periodo_2_disciplinas_aprovadas,0.06236630672258966
periodo_1_disciplinas_aprovadas,0.05305521968107748
periodo_3_disciplinas_aprovadas,0.048858933841398576
nota_ingresso,0.043761267995586745
periodo_4_disciplinas_trancadas,0.024942429158016626
periodo_1_disciplinas_reprovadas,0.022554226640569774
periodo_3_disciplinas_reprovadas,0.01978516171752009
periodo_2_disciplinas_ri,0.012236903461217318
periodo_2_disciplinas_reprovadas,0.008181542071289573
periodo_1_disciplinas_ri,0.0074720675479482135
periodo_2_disciplinas_trancadas,0.007201367423774473
periodo_4_bolsa_remunerada,0.005442250875793012
periodo_4_disciplinas_ri,0.004507956926424908
periodo_4_disciplinas_reprovadas,0.0034256819355815873
cota_escola_publica,0.002528889195595119
tipo_ingresso_pism,0.0020087578405053198
cota_ampla_concorrencia,0.001666545784097889
periodo_3_disciplinas_ri,0.0012995649244630252
periodo_1_disciplinas_trancadas,0.0
genero_masculino,0.0
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
cota_racial,0.0
cota_renda,0.0
tipo_ingresso_sisu,0.0
tipo_ingresso_outros,0.0
genero_feminino,0.0
genero_outros,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_ae,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_ae,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_ae,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_n_remunerada,0.0
periodo_4_ae,0.0
etnia_branca,0.0
etnia_outra,0.0
etnia_parda,0.0
etnia_preta,0.0
